,Tag Combination,Count
28,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Garlic', 'ingredients mentioned in the flavor names_mapped_clean_Salt', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Sticks', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",2
29,"('explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chickpea', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",2
30,"('ingredients mentioned in the flavor names_mapped_clean_Caramel', 'ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'ingredients mentioned in the flavor names_mapped_clean_Vanilla', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Clusters', 'taste profile_mapped_clean_Salty', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'types of snack does it describe_mapped_clean_Potato', 'types of snack does it describe_mapped_clean_Pretzels', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
31,"('explicitly claimed health or lifestyle benefits_mapped_clean_Filling', 'ingredients mentioned in the flavor names_mapped_clean_Beef', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Smoky', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Jerky', 'types of snack does it describe_mapped_clean_Pretzels', 'types of snack does it describe_mapped_clean_Snack Mix, Trail Mix', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",2
32,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'shapes mentioned_mapped_clean_Bites', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Snack Mix, Trail Mix', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",2
33,"('explicitly claimed health or lifestyle benefits_mapped_clean_Filling', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Sticks', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Corn', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",2
40,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Lemon', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Nutty', 'textures described_mapped_clean_Crunchy', 'textures described_mapped_clean_creamy', 'types of snack does it describe_mapped_clean_Wholegrain', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",2
35,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crunchy', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Brain fuel / focus', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",2
36,"('ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Puffs')",2
37,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Seeds', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
38,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Salt', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Salty', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Popped', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
26,"('explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",2
41,"('explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chickpea', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",2
42,"('ingredients mentioned in the flavor names_mapped_clean_Caramel', 'ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Salty', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crunchy', 'textures described_mapped_clean_Tender', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",2
27,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",2
39,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Brain fuel / focus', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",2
25,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'types of snack does it describe_mapped_clean_Puffs')",2
16,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'ingredients mentioned in the flavor names_mapped_clean_Fruit', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'multipack or single serving_mapped_clean_Multipack', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Fruity', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Chewy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
24,"('cuisines of origin_mapped_clean_Mediterranean', 'explicitly claimed health or lifestyle benefits_mapped_clean_Gluten free', 'explicitly claimed health or lifestyle benefits_mapped_clean_No artificial colouring', 'explicitly claimed health or lifestyle benefits_mapped_clean_non Genetically Modified non GMO', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Olive Oil', 'multipack or single serving_mapped_clean_Not specified', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Buttery', 'taste profile_mapped_clean_Herbal', 'types of snack does it describe_mapped_clean_Chickpea', 'types of snack does it describe_mapped_clean_Chips')",2
11,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Salt', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Popped', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
12,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Crisps', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
13,"('one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Crisps', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",2
10,"('explicitly claimed health or lifestyle benefits_mapped_clean_Wholegrain', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Wholegrain', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",2
15,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla')",2
14,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Crackers', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",2
17,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",2
18,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Puffs')",2
19,"('explicitly claimed health or lifestyle benefits_mapped_clean_Filling', 'explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'explicitly claimed health or lifestyle benefits_mapped_clean_Provides energy', 'ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'ingredients mentioned in the flavor names_mapped_clean_Lemon', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'ingredients mentioned in the flavor names_mapped_clean_Vanilla', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Salty', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crunchy', 'textures described_mapped_clean_creamy', 'types of snack does it describe_mapped_clean_Pretzels', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",2
20,"('explicitly claimed health or lifestyle benefits_mapped_clean_Filling', 'explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Rings', 'shapes mentioned_mapped_clean_Triangular', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Chewy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Bar', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Brain fuel / focus', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",2
21,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla')",2
22,"('one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Triangular', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",2
23,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Wavy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla')",2
438,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",1
433,"('explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Nutty', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",1
434,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Sharing')",1
435,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",1
436,"('ingredients mentioned in the flavor names_mapped_clean_Ranch', 'ingredients mentioned in the flavor names_mapped_clean_Tomatoes', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",1
437,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Paw shaped', 'taste profile_mapped_clean_Cheesy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Entertaining guests')",1
445,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Onion', 'ingredients mentioned in the flavor names_mapped_clean_Sour Cream', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",1
439,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",1
